"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2017-05-26","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
"2017-05-18","Robo a persona",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-05-29","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"5:30","La vida y la integridad corporal","Interior","MUN064"
"2017-05-07","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-05-17","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","El patrimonio","Interior","MUN073"
"2017-05-09","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-05-26","Violencia familiar",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","La familia","Interior","MUN073"
"2017-05-26","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"17:45","La vida y la integridad corporal","Interior","MUN035"
"2017-05-02","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-05-08","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Diego de Alejandría",72,"17:45","El patrimonio","Interior","MUN072"
"2017-06-01","Violencia familiar",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"17:45","La familia","Interior","MUN064"
"2017-06-19","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-06-22","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-06-05","Violencia familiar",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"5:30","La familia","Interior","MUN035"
"2017-06-19","Lesiones dolosas",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","La vida y la integridad corporal","Interior","MUN073"
"2017-06-05","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","La libertad y la seguridad sexual","Interior","MUN053"
"2017-06-28","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"17:45","La vida y la integridad corporal","Interior","MUN064"
"2017-06-30","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","La vida y la integridad corporal","Interior","MUN053"
"2017-06-14","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-06-23","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-06-15","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
