fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica,ID_municipio_unico
05/08/2019,Abuso sexual infantil,-103.272914,22.11601815,SOYATITLAN,Colotlán,25,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN025
05/08/2019,Abuso sexual infantil,-103.2563414,22.11223872,LOMAS DE LA CRUZ,Colotlán,25,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN025
23/08/2019,Abuso sexual infantil,-103.4422004,21.92459594,LAS CRUCES,Totatiche,104,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN104
01/10/2019,Abuso sexual infantil,-103.8967318,22.62506399,CENTRO,Huejuquilla el Alto,42,18:39,La libertad y la seguridad sexual,Interior,ENT14MUN042
08/10/2019,Abuso sexual infantil,-103.27111,22.110745,DE LA PIEDRA CHINA,Colotlán,25,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN025
21/10/2019,Abuso sexual infantil,-104.0791668,21.79408466,NO DISPONIBLE,Bolaños,19,01:00,La libertad y la seguridad sexual,Interior,ENT14MUN019
12/12/2019,Abuso sexual infantil,-103.8967318,22.62506399,CENTRO,Huejuquilla el Alto,42,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN042
17/12/2019,Abuso sexual infantil,-103.5945092,21.98445003,CENTRO,Villa Guerrero,115,N.D.,La libertad y la seguridad sexual,Interior,ENT14MUN115
03/04/2019,Feminicidio,-104.3541894,22.09601294,NO DISPONIBLE,Mezquitic,61,N.D.,La vida y la integridad corporal,Interior,ENT14MUN061
02/07/2019,Feminicidio,-103.7794689,21.83240852,SAN JUAN,Bolaños,19,N.D.,La vida y la integridad corporal,Interior,ENT14MUN019
11/09/2019,Feminicidio,-104.2408591,22.18879138,TANANA,Mezquitic,61,N.D.,La vida y la integridad corporal,Interior,ENT14MUN061
01/02/2019,Homicidio doloso,-103.1004709,22.20755279,HUACASCO,Santa María de los Angeles,81,N.D.,La vida y la integridad corporal,Interior,ENT14MUN081
22/03/2019,Homicidio doloso,-103.6486193,21.90438909,NO DISPONIBLE,Villa Guerrero,115,N.D.,La vida y la integridad corporal,Interior,ENT14MUN115
03/06/2019,Homicidio doloso,-103.2249837,22.1733168,CENTRO,Santa María de los Angeles,81,N.D.,La vida y la integridad corporal,Interior,ENT14MUN081
04/08/2019,Homicidio doloso,-103.8947041,22.62693145,CENTRO,Huejuquilla el Alto,42,13:20,La vida y la integridad corporal,Interior,ENT14MUN042
19/09/2019,Homicidio doloso,-103.0962584,22.21300155,HUACASCO,Santa María de los Angeles,81,22:15,La vida y la integridad corporal,Interior,ENT14MUN081
15/12/2019,Homicidio doloso,-103.9691645,21.81687551,NO DISPONIBLE,Bolaños,19,22:00,La vida y la integridad corporal,Interior,ENT14MUN019
23/01/2019,Lesiones dolosas,-103.8981348,22.62601839,CENTRO,Huejuquilla el Alto,42,N.D.,La vida y la integridad corporal,Interior,ENT14MUN042
13/02/2019,Lesiones dolosas,-103.27111,22.11074499,DE LA PIEDRA CHINA,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
20/02/2019,Lesiones dolosas,-103.273197,22.10904897,DE LA PIEDRA CHINA,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
21/02/2019,Lesiones dolosas,-103.2711192,22.10642655,NUEVO TLAXCALA 2,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
04/03/2019,Lesiones dolosas,-103.25746,22.11322716,LOMAS DE LA CRUZ,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
08/03/2019,Lesiones dolosas,-103.2675027,22.11296936,CENTRO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
12/03/2019,Lesiones dolosas,-103.2704485,22.11242487,CENTRO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
25/03/2019,Lesiones dolosas,-103.2510038,22.13835731,SANTIAGO TLALTELOLCO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
25/03/2019,Lesiones dolosas,-103.2574838,22.11455367,LOMAS DE LA CRUZ,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
27/03/2019,Lesiones dolosas,-103.273157,22.10164483,NUEVO TLAXCALA 2,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
09/04/2019,Lesiones dolosas,-104.1869585,22.00658009,NO DISPONIBLE,Mezquitic,61,N.D.,La vida y la integridad corporal,Interior,ENT14MUN061
22/04/2019,Lesiones dolosas,-103.2675757,22.10813055,DEL CERRITO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
24/04/2019,Lesiones dolosas,-103.9284265,22.37234405,TENZOMPA,Huejuquilla el Alto,42,N.D.,La vida y la integridad corporal,Interior,ENT14MUN042
26/04/2019,Lesiones dolosas,-103.2633366,22.11545975,ALTO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
06/05/2019,Lesiones dolosas,-103.2681635,22.11385809,CENTRO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
22/05/2019,Lesiones dolosas,-103.2663451,22.11081189,DE LA PIEDRA CHINA ORIENTE,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
22/05/2019,Lesiones dolosas,-103.4445223,21.92923295,LA CALZADA,Totatiche,104,N.D.,La vida y la integridad corporal,Interior,ENT14MUN104
28/05/2019,Lesiones dolosas,-103.5271986,21.97820939,LA CRUZ,Totatiche,104,N.D.,La vida y la integridad corporal,Interior,ENT14MUN104
04/06/2019,Lesiones dolosas,-103.443149,21.92726983,AGUSTIN CALOCA,Totatiche,104,N.D.,La vida y la integridad corporal,Interior,ENT14MUN104
